name,lon_min,lon_max,lat_min,lat_max
Northern Africa,-17.104644334999932,38.603851759000065,8.681641744000046,37.34520091400009
Eastern Asia,73.60225630700006,153.98560631600003,15.77537669500009,53.56944447900007
Northern Europe,-24.539906378999945,33.64039147200009,-54.46249765399995,80.77008698100008
Southern Asia,44.01486332200011,97.36225305200003,-0.6885718729999439,39.771526998000084
Eastern Europe,12.076140991000045,50.0,41.19268056200009,70.0
Northern Asia,50.0,180.0,48.0,90.0
Melanesia,140.84921106000002,180,-22.670668226999908,-1.3463680969999245
Central Asia,46.47827884900005,87.32379602100013,35.140646871000044,55.43455027300003
Southeast Asia,92.17497277900003,140.97762699400005,-10.922621351999908,28.53846588100008
Northern America,-179.1435033839999,-11.37682044199994,18.906117143000074,83.63410065300008
Middle Africa,5.6119897800000444,31.280446818000087,-18.031404723999884,23.444719951000067
Western Africa,-25.36042232999995,15.970321899000112,-40.39788176899992,27.285415751000116
Southern Africa,11.717621290000068,37.97779381600009,-46.96575286299992,-16.951057230999936
Western Europe,-5.0,18.0,40.0,55.0
South America,-109.45372473899994,-28.877064581999946,-55.9185042229999,15.702948309000078
Southern Europe,-31.284901495999918,28.239756707000083,27.642238674000055,47.08521494500006
Seven seas (open ocean),-180.0,180.0,-90.0,90.0
Eastern Africa,21.97987756300006,63.49390709700003,-26.86027150399994,18.004828192000048
Antarctica,-180.0,180.0,-90.0,-60.51620859199994
Western Asia,25.663259311000047,59.84457441500007,12.111443672000064,43.57584259000002
Central America,-118.36880422899992,-77.16326981599991,5.51508209800005,32.71283640500009
Polynesia,-178.18573971299992,-124.77806555899991,-27.64120859199994,-5.677504164999959
Australia and New Zealand,112.91944420700008,178.84392337300005,-54.75042083099993,-8.543226820999905
Caribbean,-84.94961503799993,-59.42690995999993,10.04205963700008,26.92841217700004
Micronesia,131.13111412900003,176.850922071,-11.461114190999922,20.55540599200009
